"",Jahr,Ressort,Land,Projekt,Volumen,Haushaltstitel,"Art derMaßnahme"
"",2007,AA,Afghanistan,Kultur- und Medienförderung in Afghanistan,"50.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Hochschulkooperation,"1.750.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Förderung des Islamdialogs,"600.763,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Gemeindestabilisierungsmaßnahmen im Süden und Südosten Afghanistans,"350.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Zivil-militärische Zusammenarbeit: Containerprovisorium für Provinzkrankenhaus Balkh in Masar,"1.300.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Gesundheitsversorgung Frauenförderung mit Schwerpunkt Herat,"155.871,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Community Building mit Maßnahmen im Bereich Gesundheitsversorgung,"1.110.810,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Engagement Süden/Südosten: GTZ - Basisinfrastrukturmaßnahmen für die Provinzen Paktia und Khost,"1.000.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,"Umfeldstabilsierungsmaßnahme Straßenbau, Qotan-Bazarak-Bazar Itefaq, Provinz Badakhshan","237.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,"Förderung von regionalen Fach- und Führungskräften für Implementierung von Entwicklungsmaßnahmen, Badakhshan","15.980,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Engagement Süden/Südosten: Stabilisierungsmaßnahmen für besondere Brennpunktregionen - Technikum Kandahar,"100.000,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Förderung der Zivilgesellschafft: Konferenzen zu einer sicheren und unabhängigen Afghanistan,"103.609,70 €",2302 89603,zivil
"",2007,AA,Afghanistan,Förderinitiative Regionalkooperation einschließl. Intensivierung des Sicherheitsdialogs Afghanistan - Pakistan,"37.541,50 €",2302 89603,zivil
"",2007,AA,Afghanistan,Unterstützung ECO Konferenz Herat,"51.646,50 €",2302 89603,zivil
"",2007,BMZ,Afghanistan,Erneuerbare Energien u. Energieeffizienz in ländlichen Regionen,"497.047,30 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Förderung von Betreiberstrukturen der Trinkwasserver- und Abwasserentsorgung in den Provinzen,"1.306.351,22 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Programm Förderung der Grundbildung,"529.751,08 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Unterstützung internat. Programme im Bereich der politischen und wirtschaftlichen Regierungsführung,"831.506,09 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Aus- und Fortbildung / Re-Qualifizierung von Frauen,"19.000,00 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Reform des Wassersektors,"347.923,28 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"647.789,08 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Regionale Wirtschafts- und Verwaltungsförderung Nordosten,"429.381,69 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Exportförderung und WTO-Beitritt,"569.491,53 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Programm Förderung der Grundbildung,"1.785.993,21 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Gender Mainstreaming,"225,12 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Programm zur KMU-Förderung und lokalen Wirtschaftsentwicklung in Nordafghanistan,"150,08 €",2301/89603,zivil
"",2007,BMZ,Afghanistan,Unterstützung der Entwicklung des staatlichen Medienkonzerns RTA zu einer pluralistischen Berichterstattung,"111.159,69 €",2302/68508,zivil
